epoch,training_loss,training_acc,test_loss,test_acc
0,953.24133,0.825,74207.69,0.7449
0,1666.1942,0.715,82104.65,0.7184
0,1870.6909,0.685,74801.42,0.7466
0,1082.8901,0.825,74589.08,0.7457
0,1392.9186,0.76,75202.83,0.7414
0,1351.7317,0.78,75402.63,0.74
0,1378.3254,0.755,73174.96,0.7487
0,1354.9463,0.76,74066.47,0.7456
0,1649.4973,0.72,76529.055,0.7347
0,1538.8286,0.73,76766.3,0.735
0,1931.9836,0.685,74736.55,0.7475
0,1499.337,0.75,71160.47,0.7564
0,1436.3977,0.775,75247.65,0.7433
0,1215.573,0.79,71432.13,0.7552
0,1434.7777,0.76,73503.96,0.7432
0,1228.9395,0.79,73023.375,0.7456
0,1029.1315,0.81,71312.586,0.7499
0,1461.502,0.705,72065.805,0.752
0,1338.1467,0.765,72071.945,0.7479
0,1299.4998,0.765,73282.94,0.7419
0,1255.3469,0.795,72033.74,0.7473
0,1459.8507,0.74,73237.56,0.7437
0,1604.9061,0.745,72053.25,0.7455
0,1249.1012,0.78,72691.08,0.7451
0,1647.119,0.705,72600.06,0.7478
0,1188.2156,0.765,74013.87,0.7397
0,1110.4672,0.785,73898.05,0.7377
0,1378.657,0.75,74013.27,0.7405
0,1454.0187,0.745,71789.805,0.7444
0,1318.4102,0.755,71641.336,0.7441
0,1349.9778,0.745,72343.64,0.7436
0,1453.3784,0.725,70977.84,0.7475
0,1747.9376,0.685,70800.95,0.7471
0,1281.1818,0.77,71623.164,0.7452
0,1452.7795,0.745,72189.89,0.7411
0,1502.3616,0.745,72068.69,0.7426
0,1723.7671,0.69,72966.984,0.7449
0,1772.206,0.7,70022.625,0.7505
0,1174.5271,0.78,69541.04,0.7512
0,1277.3635,0.765,71137.31,0.7468
0,1123.1888,0.785,69201.77,0.7529
0,1160.277,0.77,70349.89,0.7492
0,1415.9973,0.75,69652.25,0.7518
0,1351.3799,0.75,70660.71,0.7447
0,1141.3794,0.795,69908.94,0.749
0,1401.9658,0.755,69746.586,0.7501
0,1724.0789,0.71,69876.82,0.7525
0,1234.873,0.775,69094.3,0.7486
0,1281.0774,0.76,69758.79,0.7443
0,1429.4504,0.74,70956.8,0.7452
0,1473.422,0.71,70114.07,0.7466
0,1189.8612,0.79,70783.64,0.7464
0,1361.4883,0.75,68884.37,0.7515
0,1257.1012,0.785,68451.0,0.7528
0,1541.4803,0.71,70804.65,0.7427
0,1322.2357,0.76,71086.29,0.7406
0,1314.9596,0.755,69057.57,0.7522
0,1066.282,0.825,68754.42,0.7514
0,1501.5472,0.745,70797.8,0.7472
0,1343.3262,0.765,69361.086,0.7516
0,1418.4941,0.75,68982.8,0.748
0,1169.9266,0.755,70203.945,0.7467
0,1458.8193,0.72,70500.23,0.7428
0,1271.3384,0.76,66907.125,0.7531
0,1241.6375,0.785,67794.3,0.7515
0,1109.3887,0.785,68272.28,0.7487
0,1090.2845,0.785,67950.76,0.7476
0,1437.3059,0.72,67863.72,0.7476
0,1110.2727,0.77,67057.29,0.7492
0,1077.4182,0.785,66836.29,0.7526
0,1253.8146,0.785,67986.836,0.7479
0,1244.6357,0.77,67665.13,0.7489
0,1092.717,0.755,68138.33,0.7501
0,1308.6648,0.745,70603.7,0.7373
0,1294.4385,0.745,68212.22,0.7398
0,1657.2617,0.7,69430.5,0.7404
0,1158.4998,0.785,67475.375,0.7434
0,948.8295,0.8,67084.52,0.7439
0,1757.6014,0.695,66713.01,0.7448
0,1317.4026,0.77,68183.195,0.7396
0,1439.0355,0.695,67145.46,0.7423
0,1397.2186,0.76,66985.69,0.7409
0,1094.3494,0.78,65330.953,0.7498
0,1253.9564,0.745,70145.44,0.7312
0,1294.6255,0.755,67677.64,0.7387
0,1033.563,0.79,66236.52,0.7453
0,1127.0083,0.765,65201.805,0.7524
0,1371.3481,0.745,65711.25,0.751
0,1545.6726,0.745,67096.48,0.7474
0,1557.3018,0.72,68540.27,0.7456
0,1294.5712,0.74,66373.09,0.7483
0,1408.8882,0.75,68302.0,0.7415
0,1340.3605,0.74,66089.65,0.7475
0,943.45593,0.815,65067.05,0.7508
0,1068.5876,0.805,67293.766,0.7402
0,1341.8181,0.73,65817.25,0.744
0,1201.3789,0.775,65057.43,0.7485
0,1228.5189,0.75,65411.86,0.7484
0,1111.9792,0.78,65174.805,0.7472
0,1154.9622,0.775,64427.906,0.751
0,954.4547,0.815,64308.54,0.7489
0,1250.3965,0.765,64926.86,0.746
0,1193.3347,0.74,64501.508,0.7452
0,1052.8821,0.8,64308.26,0.7501
0,1439.153,0.705,64121.695,0.743
0,1242.5375,0.74,63888.17,0.7473
0,1182.702,0.755,64075.023,0.7494
0,1227.1643,0.75,65289.387,0.738
0,940.1387,0.815,65922.89,0.7375
0,1473.9049,0.69,64955.25,0.745
0,1330.385,0.755,64906.293,0.7477
0,964.9679,0.805,64235.566,0.7462
0,995.9192,0.78,64717.05,0.743
0,1214.4609,0.76,64363.01,0.7455
